=== phase0 v5 start Mon Apr 13 20:25:48 UTC 2026
waiting for VBUSOK drop (unplug Mac)...
cable out Mon Apr 13 20:26:02 UTC 2026: GPIO107 HIGH, WD off, SOURCE, OTG on
DOUT=0x200008C0 DIN=0x2FFF2B47
t=110 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=111 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=112 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=113 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=114 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=115 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=116 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=117 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=118 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=119 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
t=120 S=0x08 T=0x00 R0B=0xe2 R0C=0x00 R11=0x18
=== phase0 v5 done Mon Apr 13 20:28:07 UTC 2026
